tmdb_id,title,numbers_budget,numbers_revenue,numbers_slug
393624,Official Secrets,,,
754609,Mrs. Harris Goes to Paris,,,
33997,Desert Flower,,18405284.0,Desert-Flower
1249,Hollywoodland,,16826251.0,Hollywoodland
1257,Because I Said So,,69538833.0,Because-I-Said-So
34134,Barbie in A Mermaid Tale,,,
1901,In Good Company,,63463195.0,In-Good-Company
560391,Downhill,,9159383.0,Downhill
134597,The Collection,,8890094.0,Collection-The
36970,Oceans,,86787530.0,Oceans
4283,Primeval,,15337855.0,Primeval-(2007)
823609,Monster Family 2,,,
4474,My Super Ex-Girlfriend,,60772856.0,My-Super-Ex-Girlfriend
758330,"Good Luck to You, Leo Grande",,,
234200,Pride,,,
5001,Before Night Falls,,8503459.0,Before-Night-Falls
267192,Genius,,7265283.0,Genius
5072,Severance,,5950002.0,Severance
235271,Addicted,,17499242.0,Addicted
6022,Evening,,12885574.0,Evening
6309,Flood,,4084232.0,Flood
531219,Roald Dahl's The Witches,,,
760741,Beast,,59168339.0,Beast-(2022)
760774,One Life,,,
433498,Papillon,,53292989.0,Papillon
433502,The Aftermath,,8242415.0,Aftermath-The-(2019)
433627,7 Days in Entebbe,,,
7839,Wedding Daze,,3969756.0,Wedding-Daze
40662,Batman: Under the Red Hood,,,
8390,"Definitely, Maybe",,55617866.0,Definitely-Maybe-(2008)
8555,Creep,,,
9027,The Guru,,24150550.0,Guru-The
402331,Hard Target 2,,,
9499,Le Divorce,,,
9683,Bubble Boy,,,
9917,Waist Deep,,,
9918,Glory Road,,42799060.0,Glory-Road
9927,The Ringer,,40442437.0,Ringer-The
10033,Just Friends,,42797679.0,Just-Friends-(2005)
10040,Miss Congeniality 2: Armed and Fabulous,,101292343.0,Miss-Congeniality-2-Armed-and-Fabulous
10491,Enigma,,,
10511,In America,,25382911.0,In-America
10544,Ned Kelly,,6371899.0,Ned-Kelly
862557,The Hill,,,
10742,The Clearing,,7863875.0,Clearing-The
567797,The Dry,,,
11065,O,,,
11078,National Security,,54599300.0,National-Security
961484,Last Seen Alive,,3660728.0,Last-Seen-Alive-(2022)
175112,Tinker Bell and the Pirate Fairy,,,
470114,24 Hours to Live,,5840146.0,24-Hours-to-Live
339527,Solace,,23549031.0,Solace
11931,In Her Shoes,,82203030.0,In-Her-Shoes-(2005)
12689,"Angus, Thongs and Perfect Snogging",,13835569.0,Angus-Thongs-and-Perfect-Snogging
13171,The Ex,,3738622.0,Ex-The
13401,The Accidental Husband,,22707064.0,Accidental-Husband-The
13505,The Perfect Score,,,
1029330,Someone Like You,,,
13690,Open Season 2,,9510171.0,Open-Season-2
832964,Lee,,14546490.0,Lee-(2024)
79548,Gone,,18100189.0,Gone
374473,"I, Daniel Blake",,,
407445,Breathe,,,
14254,The Uninvited,,42778961.0,Uninvited-The-(2009)
14410,Notorious,,44972183.0,Notorious-(2009)
80038,Friends with Kids,,14357752.0,Friends-with-Kids
14609,Ultimate Avengers: The Movie,,,
899524,Golda,,,
965150,Aftersun,,9750994.0,Aftersun-(2022)
15184,A Good Woman,,6075750.0,Good-Woman-A
180894,Ninja: Shadow of a Tear,,,
639721,The Addams Family 2,,119383236.0,Addams-Family-2-The
49953,A Turtle's Tale: Sammy's Adventures,,,
17187,The Emperor's Club,,16193713.0,Emperors-Club-The
17336,Fighting,,32831707.0,Fighting-(2009)
508947,Turning Red,,12271142.0,Turning-Red-(2022)
313106,Doctor Who: The Day of the Doctor,,2918455.0,Doctor-Who-The-Day-of-the-Doctor
51170,Open Season 3,,9312631.0,Open-Season-3
411741,Ingrid Goes West,,3271468.0,Ingrid-Goes-West
19918,Spread,,4484936.0,Spread
413998,My Cousin Rachel,,9808670.0,My-Cousin-Rachel
283227,A Little Chaos,,10084623.0,Little-Chaos-A
676547,Prey for the Devil,,44013745.0,Prey-for-the-Devil-(2022)
348893,Boyka: Undisputed IV,,,
86828,Absolutely Anything,,7167019.0,Absolutely-Anything
21542,Love Don't Co$t a Thing,,,
644583,The Mauritanian,,7362618.0,Mauritanian-The-(2021)
415401,The Party,,126.0,Party-The
22620,Scooby-Doo! The Mystery Begins,,,
645788,The Protégé,,,
547565,The Night House,,15493093.0,Night-House-The
515042,Free Solo,,,
482321,Ron's Gone Wrong,,,
121986,Frances Ha,,11194304.0,Frances-Ha
24122,The Rebound,,18774608.0,Rebound-The
24621,Chasing Papi,,12657377.0,Chasing-Papi
418680,Goodbye Christopher Robin,,7299662.0,Goodbye-Christopher-Robin
353326,The Man Who Knew Infinity,,12382122.0,Man-Who-Knew-Infinity-The
58496,Senna,,10924647.0,Senna
25769,Carriers,,6825397.0,Carriers
550205,Wish Dragon,,,
845783,Baghead,,,
59468,The Way,,13294837.0,Way-The
879444,Accident Man: Hitman's Holiday,,,
454652,Colette,,15910183.0,Colette-(2018)
127372,Emperor,,14905469.0,Emperor-(2012)
455236,Accident Man,,,
553604,Honest Thief,,32609631.0,Honest-Thief-(2020)
521034,The Secret Garden,,,
422803,A Shaun the Sheep Movie: Farmageddon,,,
30675,Planet Hulk,,,
522241,The Courier,,,
228203,"McFarland, USA",,45707924.0,McFarland-USA
359784,Maudie,,11850575.0,Maudie
