tmdb_id,title,numbers_budget,numbers_revenue
24621,Chasing Papi,,12657377.0
8390,"Definitely, Maybe",,55617866.0
8555,Creep,,
49953,A Turtle's Tale: Sammy's Adventures,,
17187,The Emperor's Club,,16193713.0
180894,Ninja: Shadow of a Tear,,
230222,Tarzan,,448191819.0
883,Coffee and Cigarettes,,3729806.0
418680,Goodbye Christopher Robin,,7299662.0
451480,The Guernsey Literary & Potato Peel Pie Society,,22029366.0
754609,Mrs. Harris Goes to Paris,,
17336,Fighting,,32831707.0
1033148,Die My Love,,10247439.0
508947,Turning Red,,12271142.0
353326,The Man Who Knew Infinity,,12382122.0
25769,Carriers,,6825397.0
33997,Desert Flower,,18405284.0
1249,Hollywoodland,,16826251.0
1253,Breaking and Entering,,
9499,Le Divorce,,
9523,Lantana,,
550205,Wish Dragon,,
34134,Barbie in A Mermaid Tale,,
9683,Bubble Boy,,
9750,Balls of Fury,,41780026.0
9918,Glory Road,,42799060.0
313106,Doctor Who: The Day of the Doctor,,2918455.0
10033,Just Friends,,42797679.0
10040,Miss Congeniality 2: Armed and Fabulous,,101292343.0
1901,In Good Company,,63463195.0
10172,Are We Done Yet?,,58388068.0
51170,Open Season 3,,9312631.0
59468,The Way,,13294837.0
2267,The Last Mimzy,,27519694.0
10491,Enigma,,
10544,Ned Kelly,,6371899.0
11065,O,,
11078,National Security,,54599300.0
961484,Last Seen Alive,,3660728.0
175112,Tinker Bell and the Pirate Fairy,,
470114,24 Hours to Live,,5840146.0
560391,Downhill,,9159383.0
134597,The Collection,,8890094.0
19918,Spread,,4484936.0
339527,Solace,,23549031.0
845783,Baghead,,
11931,In Her Shoes,,82203030.0
1158915,Dìdi (弟弟),,
454652,Colette,,15910183.0
1208348,Rental Family,,27370440.0
1159206,Father Mother Sister Brother,,4789730.0
4283,Primeval,,15337855.0
823609,Monster Family 2,,
4474,My Super Ex-Girlfriend,,60772856.0
127372,Emperor,,14905469.0
12689,"Angus, Thongs and Perfect Snogging",,13835569.0
758330,"Good Luck to You, Leo Grande",,
455236,Accident Man,,
283227,A Little Chaos,,10084623.0
553604,Honest Thief,,32609631.0
676547,Prey for the Devil,,44013745.0
1127110,Diablo,,
234200,Pride,,
348893,Boyka: Undisputed IV,,
520946,100% Wolf,,
86828,Absolutely Anything,,7167019.0
13171,The Ex,,3738622.0
5001,Before Night Falls,,8503459.0
422803,A Shaun the Sheep Movie: Farmageddon,,
21542,Love Don't Co$t a Thing,,
570480,Trouble,,
13505,The Perfect Score,,
1029330,Someone Like You,,
13690,Open Season 2,,9510171.0
832964,Lee,,14546490.0
644583,The Mauritanian,,7362618.0
800301,What's Love Got to Do with It?,,39147078.0
79548,Gone,,18100189.0
374473,"I, Daniel Blake",,
235271,Addicted,,17499242.0
587562,Two by Two: Overboard!,,
14254,The Uninvited,,42778961.0
14295,You Can Count on Me,,10827356.0
522241,The Courier,,
862557,The Hill,,
14410,Notorious,,44972183.0
22620,Scooby-Doo! The Mystery Begins,,
39356,Boy,,
899524,Golda,,
965150,Aftersun,,9750994.0
1276521,Charlie the Wonderdog,,
531219,Roald Dahl's The Witches,,
15163,Amazing Grace,,
15184,A Good Woman,,6075750.0
760741,Beast,,59168339.0
760774,One Life,,
482321,Ron's Gone Wrong,,
801937,"Silent Night, Deadly Night",,5545323.0
433498,Papillon,,53292989.0
359784,Maudie,,11850575.0
433627,7 Days in Entebbe,,
24122,The Rebound,,18774608.0
7839,Wedding Daze,,3969756.0
40662,Batman: Under the Red Hood,,
1507275,A Paw Patrol Christmas,,
